年齢など,,本人の収入,,,,家族の収入,,,,その他,,,使う予定のお金,,,,,,,,,,,,3区分キャッシュフロー,,,,,,,,,毎年の収支,,,,,貯金の合計,,,
西暦,年齢,お給料,年金など,個人年金等,iDeCo等,お給料,年金など,個人年金等,iDeCo等,資金調達合計,児童手当,経常収入合計,基本生活費,火災保険等,学費など,車の買替等,趣味・他,趣味・他,家族関連,家ローン,将来の積立,保険料,税金・社保,支出合計,経常収入,経常支出,経常収支,臨時収入,臨時支出,臨時収支,資金調達(取崩),資金調達(移管),最終純増減,年間の残金,不定期な出費,実質の貯蓄,満期保険等,保険解約金,ふだん使い,予備のお金,運用の資金,その年の残高
2047,61,450,0,0,0,148.69995800140842,0,0,0,0,0,598.6999580014084,316.65571472063436,18.670737896263816,249.40476190476193,130,42,52.8,33.6,170.31608831246888,73.2,6,127.06869057200169,1219.7159934061308,598.6999580014084,1219.7159934061308,-621.0160354047224,0,100,-100,0,0,-721.0160354047224,-621.0160354047224,100,-721.0160354047224,0,0,555.7122051310624,2144.5316733658697,2222.36820350979,4922.612082006723
2048,62,450,0,0,0,150.0382576234211,0,0,0,25.376846743185865,0,600.038257623421,331.8910368439856,18.857445275226457,0,325,42,52.8,33.6,170.31608831246768,73.2,6,127.4627390659897,1181.1273094976693,600.038257623421,1181.1273094976693,-581.0890518742483,0,0,0,25.376846743185865,0,-555.7122051310624,-581.0890518742483,0,-581.0890518742483,0,0,0,2243.49077682366,2302.2392496150833,4545.730026438743
2049,63,450,0,0,0,151.38860194203184,0,0,0,283.49062891692245,0,601.3886019420319,335.2099472124255,19.04601972797872,0,25,42,52.8,33.6,170.31608831246635,73.2,6,127.7071756060836,884.8792308589543,601.3886019420319,884.8792308589543,-283.49062891692245,0,0,0,283.49062891692245,0,0,-283.49062891692245,0,-283.49062891692245,0,0,0,2087.3048712114473,2384.5064271035358,4471.811298314983
2050,64,450,0,0,0,0,0,0,0,410.89666242227327,0,450,338.5620466845497,19.236479925258507,0,25,42,52.8,33.6,170.31608831246498,73.2,6,100.18204750000001,860.8966624222733,450,860.8966624222733,-410.89666242227327,0,0,0,410.89666242227327,0,0,-410.89666242227327,0,-410.89666242227327,0,0,0,1799.0273549255173,2469.241619916642,4268.268974842159
2051,65,0,182.1696,0,0,0,0,0,0,3261.696068653572,0,2725.4884685141415,379.2510490224565,19.428844724511094,0,145,42,52.8,21.6,170.3160883124633,60,6,4.1508180800000005,900.546800139431,182.1696,900.546800139431,-718.3772001394309,0,0,0,718.3772001394309,2543.3188685141413,2543.3188685141413,-718.3772001394309,0,-718.3772001394309,0,0,2543.3188685141413,1194.620975433852,0,3737.9398439479933
2052,66,0,182.1696,0,0,0,0,0,0,1230.4596046968675,0,1412.6292046968674,383.0435595126811,19.623133171756205,0,25,6,52.8,21.6,170.31608831246137,0,6,4.1508180800000005,688.5335990768987,182.1696,688.5335990768987,-506.36399907689866,0,100,-100,0,1230.4596046968675,624.0956056199689,-506.36399907689866,100,-606.3639990768986,0,0,3167.41447413411,0,0,3167.41447413411
2053,67,0,182.1696,0,0,0,0,0,0,0,0,182.1696,386.87399510780784,19.819364503473768,0,25,6,52.8,21.6,170.31608831245939,0,6,4.1508180800000005,692.560266003741,182.1696,692.560266003741,-510.39066600374105,0,0,0,0,0,-510.39066600374105,-510.39066600374105,0,-510.39066600374105,0,0,2657.023808130369,0,0,2657.023808130369
2054,68,0,182.1696,0,0,0,0,0,0,0,0,182.1696,390.74273505888596,20.017558148508506,0,25,6,52.8,21.6,170.3160883124573,0,6,4.1508180800000005,696.6271995998518,182.1696,696.6271995998518,-514.4575995998518,0,0,0,0,0,-514.4575995998518,-514.4575995998518,0,-514.4575995998518,0,0,2142.5662085305175,0,0,2142.5662085305175
2055,69,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,394.65016240947483,20.21773372999359,0,25,6,52.8,21.6,170.3160883124548,0,6,4.6508180800000005,701.2348025319233,305.3392,701.2348025319233,-395.89560253192326,0,0,0,0,0,-395.89560253192326,-395.89560253192326,0,-395.89560253192326,0,0,1746.6706059985943,0,0,1746.6706059985943
2056,70,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,398.5966640335696,20.419911067293526,0,25,6,16.8,21.6,170.3160883124515,0,6,4.6508180800000005,669.3834814933147,305.3392,669.3834814933147,-364.04428149331466,0,0,0,0,0,-364.04428149331466,-364.04428149331466,0,-364.04428149331466,0,0,1382.6263245052796,0,0,1382.6263245052796
2057,71,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,402.58263067390527,20.62411017796646,0,420,6,16.8,21.6,171.17387046052914,0,6,4.6508180800000005,1069.4314293924008,305.3392,1069.4314293924008,-764.0922293924008,0,0,0,0,0,-764.0922293924008,-764.0922293924008,0,-764.0922293924008,0,0,618.5340951128788,0,0,618.5340951128788
